Links,Category
https://www.youtube.com/watch?v=WUtUEkNjjAE,3. Detrimental Actions
https://www.youtube.com/watch?v=XJZEehrzyLg,5. Defamation
https://www.youtube.com/watch?v=9ZFhYfd_9RQ,5. Defamation
https://www.youtube.com/watch?v=1yJaas5aIFA,6. Scam and Fraud
https://www.youtube.com/watch?v=gAxyBMnT8NI,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=sSOeh0TW-_M,3. Detrimental Actions
https://www.youtube.com/watch?v=DA6UPW49Ozo,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=cWZvaoU_9Ro,5. Defamation
https://www.youtube.com/watch?v=aaaeFpfbayg,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=aXextpA31AI,5. Defamation
https://www.youtube.com/watch?v=3Koh_tXRoKw,6. Scam and Fraud
https://www.youtube.com/watch?v=asKUdCuPicM,6. Scam and Fraud
https://www.youtube.com/watch?v=yruKS5vjlTA,6. Scam and Fraud
https://www.youtube.com/watch?v=LNP2K6pM2wQ,3. Detrimental Actions
https://www.youtube.com/watch?v=Z3D9idhnnAY,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=A0TkmlholKU,6. Scam and Fraud
https://www.youtube.com/watch?v=lwcQqIxQi0w,6. Scam and Fraud
https://www.youtube.com/watch?v=AYLpkK0cKxs,3. Detrimental Actions
https://www.youtube.com/watch?v=ufm_6XV9veo,3. Detrimental Actions
https://www.youtube.com/watch?v=ozCcZPULgfY,2. Exploitative Content
https://www.youtube.com/watch?v=O9dIJGaMPBI,6. Scam and Fraud
https://www.youtube.com/watch?v=bNv_cPgETi0,3. Detrimental Actions
https://www.youtube.com/watch?v=LiGaeZNDc7E,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=fWLNgEj4LU4,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=8nJiYJHmcc8,5. Defamation
https://www.youtube.com/watch?v=UruDEFz-T9o,3. Detrimental Actions
https://www.youtube.com/watch?v=wa9Ok7NH2aw,6. Scam and Fraud
https://www.youtube.com/watch?v=RyT3veZRMcg,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=0qIQTI4zFbE,3. Detrimental Actions
https://www.youtube.com/watch?v=tT3WJTv99Rk,3. Detrimental Actions
https://www.youtube.com/watch?v=gD7RMnvktK4,5. Defamation
https://www.youtube.com/watch?v=o35aiHlU6l8,3. Detrimental Actions
https://www.youtube.com/watch?v=bvNBkD4Yk-A,5. Defamation
https://www.youtube.com/watch?v=iMBtKr16nhE,6. Scam and Fraud
https://www.youtube.com/watch?v=K2UoAbmkUXI,3. Detrimental Actions
https://www.youtube.com/watch?v=85ZicYaZsbQ,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=TGuKBF95WV8,3. Detrimental Actions
https://www.youtube.com/watch?v=TTmmR8gKxW0,6. Scam and Fraud
https://www.youtube.com/watch?v=lfc5hSl4aI4,6. Scam and Fraud
https://www.youtube.com/watch?v=SnDGnd5lkwc,3. Detrimental Actions
https://www.youtube.com/watch?v=rrGEpjE4cN8,3. Detrimental Actions
https://www.youtube.com/watch?v=ZRfjRG4VXgQ,2. Exploitative Content
https://www.youtube.com/watch?v=sTSQwtwr-Gg,3. Detrimental Actions
https://www.youtube.com/watch?v=MBT38d0MHSQ,6. Scam and Fraud
https://www.youtube.com/watch?v=vkw3ZHKFBUU,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=EuzLPSws5Ec,5. Defamation
https://www.youtube.com/watch?v=BTNmkfZ4jvg,5. Defamation
https://www.youtube.com/watch?v=rt95Ip4hjTQ,5. Defamation
https://www.youtube.com/watch?v=1UwExDK7ZhQ,6. Scam and Fraud
https://www.youtube.com/watch?v=tM2WAYi-Fok,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=CI_Y6RLRtis,5. Defamation
https://www.youtube.com/watch?v=LKPIHBqA7XE,6. Scam and Fraud
https://www.youtube.com/watch?v=K5Yljeqceu8,3. Detrimental Actions
https://www.youtube.com/watch?v=zAflAITPAl4,3. Detrimental Actions
https://www.youtube.com/watch?v=wZRkfBsTTt8,5. Defamation
https://www.youtube.com/watch?v=_kd_ZPjXLXU,6. Scam and Fraud
https://www.youtube.com/watch?v=OgyUx7lWB28,3. Detrimental Actions
https://www.youtube.com/watch?v=pLsl8aSl_Dw,3. Detrimental Actions
https://www.youtube.com/watch?v=KEqSqwXOv4k,2. Exploitative Content
https://www.youtube.com/watch?v=1Gh5pNg3NOw,5. Defamation
https://www.youtube.com/watch?v=9Kf9kcvNaJc,5. Defamation
https://www.youtube.com/watch?v=rWwITi39EEM,5. Defamation
https://www.youtube.com/watch?v=nwUVoYqZCdM,6. Scam and Fraud
https://www.youtube.com/watch?v=0CBSdQNukPo,3. Detrimental Actions
https://www.youtube.com/watch?v=SkVQIALzRxY,3. Detrimental Actions
https://www.youtube.com/watch?v=IHC0HSiwy7A,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=I18tSng8BVk,3. Detrimental Actions
https://www.youtube.com/watch?v=X3Y4MvaCDuk,5. Defamation
https://www.youtube.com/watch?v=lo_Qo6XPbf0,3. Detrimental Actions
https://www.youtube.com/watch?v=WI-dRKKdOq8,6. Scam and Fraud
https://www.youtube.com/watch?v=qyHr6uA82cM,5. Defamation
https://www.youtube.com/watch?v=P9v7T8L39EM,3. Detrimental Actions
https://www.youtube.com/watch?v=-MRMSHxPGqY,3. Detrimental Actions
https://www.youtube.com/watch?v=F0sFhkpxs7U,5. Defamation
https://www.youtube.com/watch?v=Pw1_oxgtncM,5. Defamation
https://www.youtube.com/watch?v=TozSkCROyqU,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=F1a3zdLLzxA,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=9MOUKih0elw,5. Defamation
https://www.youtube.com/watch?v=PwVSQ5kGXMA,5. Defamation
https://www.youtube.com/watch?v=q4H3Aa8rKpY,2. Exploitative Content
https://www.youtube.com/watch?v=Fn798iT2X_I,6. Scam and Fraud
https://www.youtube.com/watch?v=cIvu1vSiHvg,3. Detrimental Actions
https://www.youtube.com/watch?v=Zl1-ajGDzVk,3. Detrimental Actions
https://www.youtube.com/watch?v=ONrtgulbYJY,6. Scam and Fraud
https://www.youtube.com/watch?v=WBLLQsTwh3o,6. Scam and Fraud
https://www.youtube.com/watch?v=AxgUUt1fGU8,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=H6OwJqcxzO4,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=mVuAL2-f3lE,3. Detrimental Actions
https://www.youtube.com/watch?v=EUMVySYcFIY,6. Scam and Fraud
https://www.youtube.com/watch?v=XYFiMP5SCyk,5. Defamation
https://www.youtube.com/watch?v=iexnSdIfgSc,6. Scam and Fraud
https://www.youtube.com/watch?v=MBnedBanSPw,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=SyhzCcfcmCo,5. Defamation
https://www.youtube.com/watch?v=l-YnojWDFU8,3. Detrimental Actions
https://www.youtube.com/watch?v=lVLUj5bU_PE,3. Detrimental Actions
https://www.youtube.com/watch?v=vlObWY8CQXo,5. Defamation
https://www.youtube.com/watch?v=ZqizB87kkhc,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=cwVYYXMZWAw,3. Detrimental Actions
https://www.youtube.com/watch?v=lEotix1iP8c,3. Detrimental Actions
https://www.youtube.com/watch?v=w6T2TU1tejw,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=kHDd7ECeWX0,5. Defamation
https://www.youtube.com/watch?v=X52tV6PYxlM,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=WSfDzz46BUc,6. Scam and Fraud
https://www.youtube.com/watch?v=ZhoxJznrBbs,5. Defamation
https://www.youtube.com/watch?v=MkBKqTnbZc0,5. Defamation
https://www.youtube.com/watch?v=1BD7l9Gq7a0,5. Defamation
https://www.youtube.com/watch?v=H649Usn4QQY,3. Detrimental Actions
https://www.youtube.com/watch?v=O22iSALMrsU,6. Scam and Fraud
https://www.youtube.com/watch?v=dMRDhF7L1rk,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=aCUU1fR4Y_s,3. Detrimental Actions
https://www.youtube.com/watch?v=TAmB_zmTiac,3. Detrimental Actions
https://www.youtube.com/watch?v=dioMEV-1jbg,3. Detrimental Actions
https://www.youtube.com/watch?v=juVQ5gHa7yE,5. Defamation
https://www.youtube.com/watch?v=VbugmUQyTx0,3. Detrimental Actions
https://www.youtube.com/watch?v=vdCjwB0rlZs,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=rjiQyR2jq_E,3. Detrimental Actions
https://www.youtube.com/watch?v=C7fJYs04F3E,3. Detrimental Actions
https://www.youtube.com/watch?v=mTVcwI3xXog,3. Detrimental Actions
https://www.youtube.com/watch?v=vEr3DeCJS4k,6. Scam and Fraud
https://www.youtube.com/watch?v=Xsx33dQziXM,6. Scam and Fraud
https://www.youtube.com/watch?v=IIaFW96oPnY,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=KVCsgYTUM_Q,3. Detrimental Actions
https://www.youtube.com/watch?v=S63uhpCuOdA,3. Detrimental Actions
https://www.youtube.com/watch?v=qxGsIFDfq2o,2. Exploitative Content
https://www.youtube.com/watch?v=nQsQ84qVhT0,3. Detrimental Actions
https://www.youtube.com/watch?v=o-g9GhLssiw,2. Exploitative Content
https://www.youtube.com/watch?v=cq_ZFO-gHcA,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=zHbJUpuy2ik,6. Scam and Fraud
https://www.youtube.com/watch?v=LzrHdX7BmYg,6. Scam and Fraud
https://www.youtube.com/watch?v=_eAEt5U42ms,3. Detrimental Actions
https://www.youtube.com/watch?v=vsN_cna1lAc,5. Defamation
https://www.youtube.com/watch?v=5rOCPXJFpok,6. Scam and Fraud
https://www.youtube.com/watch?v=PYF00xTGS7o,5. Defamation
https://www.youtube.com/watch?v=7YSnoxHqVzs,5. Defamation
https://www.youtube.com/watch?v=DZoFHcmRsvs,5. Defamation
https://www.youtube.com/watch?v=M4PDFaRPKM0,5. Defamation
https://www.youtube.com/watch?v=ZRD555Qsaus,6. Scam and Fraud
https://www.youtube.com/watch?v=digmI1AXdKQ,3. Detrimental Actions
https://www.youtube.com/watch?v=crhDdmJnQIw,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=xjuP-Po0M8s,5. Defamation
https://www.youtube.com/watch?v=qd5FQJziZZ0,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=FJ7iPn39i08,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=UKuTX8Oh8Oo,5. Defamation
https://www.youtube.com/watch?v=5iBzR3UnsDE,3. Detrimental Actions
https://www.youtube.com/watch?v=5iftJO08ko8,3. Detrimental Actions
https://www.youtube.com/watch?v=vUy0Wb6MVKk,3. Detrimental Actions
https://www.youtube.com/watch?v=CdQkgG9NOls,5. Defamation
https://www.youtube.com/watch?v=ejdIyW2rQUs,5. Defamation
https://www.youtube.com/watch?v=c1yf7tAIad0,6. Scam and Fraud
https://www.youtube.com/watch?v=wqEncKFd7M8,2. Exploitative Content
https://www.youtube.com/watch?v=PQYC46iKFHo,5. Defamation
https://www.youtube.com/watch?v=ENG2ocfl3-g,3. Detrimental Actions
https://www.youtube.com/watch?v=wrgvqmb7kN8,5. Defamation
https://www.youtube.com/watch?v=a75mJfCYrkE,6. Scam and Fraud
https://www.youtube.com/watch?v=enOPNKbyzvA,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=VWz3qfOHujk,2. Exploitative Content
https://www.youtube.com/watch?v=oI5pIWqxGM0,6. Scam and Fraud
https://www.youtube.com/watch?v=9lmrNCz6a2Q,5. Defamation
https://www.youtube.com/watch?v=2aNZcapRZzM,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=PwD-kzp-V4U,5. Defamation
https://www.youtube.com/watch?v=RzokH6Kiv_U,2. Exploitative Content
https://www.youtube.com/watch?v=yNrrUINVmnE,3. Detrimental Actions
https://www.youtube.com/watch?v=RTZYr6T1AJE,6. Scam and Fraud
https://www.youtube.com/watch?v=6fO4VfPQAts,5. Defamation
https://www.youtube.com/watch?v=7dxkr4TZEZY,6. Scam and Fraud
https://www.youtube.com/watch?v=0NQPveBdo4E,2. Exploitative Content
https://www.youtube.com/watch?v=x9EfRo-L9Bs,5. Defamation
https://www.youtube.com/watch?v=a38OT6jDy5s,6. Scam and Fraud
https://www.youtube.com/watch?v=uo-j1J1sZ90,6. Scam and Fraud
https://www.youtube.com/watch?v=Ex4VQvzYxF4,6. Scam and Fraud
https://www.youtube.com/watch?v=lha4ahcLUhI,5. Defamation
https://www.youtube.com/watch?v=BD5kCzSVcwc,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=eJy-xrqskTg,5. Defamation
https://www.youtube.com/watch?v=NZkZzjC-n28,3. Detrimental Actions
https://www.youtube.com/watch?v=jR-pWtqKBf0,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=MVUeUtpmCS4,5. Defamation
https://www.youtube.com/watch?v=MIj2liaAwt4,5. Defamation
https://www.youtube.com/watch?v=m_izkxEieuo,3. Detrimental Actions
https://www.youtube.com/watch?v=1dMiyOpxWis,3. Detrimental Actions
https://www.youtube.com/watch?v=DnvfxfDraNU,6. Scam and Fraud
https://www.youtube.com/watch?v=A4FU5Ki-GeM,5. Defamation
https://www.youtube.com/watch?v=OFbRWS-1nn4,3. Detrimental Actions
https://www.youtube.com/watch?v=P_KZpYV_oM4,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=_d7XVgVwMUM,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=8mm4NXDoG_I,6. Scam and Fraud
https://www.youtube.com/watch?v=cbDRSu6IeJY,6. Scam and Fraud
https://www.youtube.com/watch?v=dozpAshvtsA,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=GYjTlfZn7R8,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=Fey6xVCWxzo,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=WN-ky5qrGLI,6. Scam and Fraud
https://www.youtube.com/watch?v=o45zN95KjRI,6. Scam and Fraud
https://www.youtube.com/watch?v=ZW6MBDWEhDM,3. Detrimental Actions
https://www.youtube.com/watch?v=WOOjugr9Kj4,3. Detrimental Actions
https://www.youtube.com/watch?v=KGT0gAzdgDM,3. Detrimental Actions
https://www.youtube.com/watch?v=p0E2tjhUcug,6. Scam and Fraud
https://www.youtube.com/watch?v=rSxj5gCOsx4,3. Detrimental Actions
https://www.youtube.com/watch?v=ou7zMj6zfeA,2. Exploitative Content
https://www.youtube.com/watch?v=7fQ6JklHjBc,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=m0Ez55owTT8,6. Scam and Fraud
https://www.youtube.com/watch?v=XfKeZruVylQ,5. Defamation
https://www.youtube.com/watch?v=DUqlLd1B86k,3. Detrimental Actions
https://www.youtube.com/watch?v=btzDIKUWqDg,2. Exploitative Content
https://www.youtube.com/watch?v=qhq8xIoTSAo,5. Defamation
https://www.youtube.com/watch?v=Br7GasykDX0,6. Scam and Fraud
https://www.youtube.com/watch?v=PJebxRMOOvc,6. Scam and Fraud
https://www.youtube.com/watch?v=l-LHDTJda1Q,3. Detrimental Actions
https://www.youtube.com/watch?v=3Xxno6ejNoA,6. Scam and Fraud
https://www.youtube.com/watch?v=-tjZjDX1k84,5. Defamation
https://www.youtube.com/watch?v=qLqiVdL_CYc,3. Detrimental Actions
https://www.youtube.com/watch?v=kqm4gsSTfbg,5. Defamation
https://www.youtube.com/watch?v=cMLaJsSrZuQ,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=BvABX5JzjBQ,6. Scam and Fraud
https://www.youtube.com/watch?v=HflvyNj7o_o,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=VENY5FA93xI,3. Detrimental Actions
https://www.youtube.com/watch?v=iJSQQu9OYwM,3. Detrimental Actions
https://www.youtube.com/watch?v=rM0S5sc50jA,1. Misinformation & Disinformation 
https://www.youtube.com/watch?v=Vzglz3KirhM,3. Detrimental Actions
